comb,stopword_options,run,f1
3class_NB,Stemming,39,0.8739635
3class_NB,Stemming,40,0.870179467
3class_NB,Stemming,41,0.901932172
3class_NB,Stemming,42,0.875516249
3class_NB,Stemming,43,0.87577059
3class_NB,Stemming,44,0.869357872
3class_NB,Stemming,45,0.904448552
3class_NB,Stemming,46,0.903891791
3class_NB,Stemming,47,0.907554361
3class_NB,Stemming,48,0.875031037
3class_NB,Stemming,49,0.833140945
3class_NB,Stemming,50,0.860748925
3class_NB,Lemmat.,1,0.879759505
3class_NB,Lemmat.,2,0.89916746
3class_NB,Lemmat.,3,0.909950661
3class_NB,Lemmat.,4,0.916399373
3class_NB,Lemmat.,5,0.885218399
3class_NB,Lemmat.,6,0.9042671
3class_NB,Lemmat.,7,0.894491665
3class_NB,Lemmat.,8,0.939554061
3class_NB,Lemmat.,9,0.804780559
3class_NB,Lemmat.,10,0.866702815
3class_NB,Lemmat.,11,0.877719695
3class_NB,Lemmat.,12,0.867673993
3class_NB,Lemmat.,13,0.835656983
3class_NB,Lemmat.,14,0.922660671
3class_NB,Lemmat.,15,0.893045772
3class_NB,Lemmat.,16,0.894641076
3class_NB,Lemmat.,17,0.91565186
3class_NB,Lemmat.,18,0.837487326
3class_NB,Lemmat.,19,0.910683349
3class_NB,Lemmat.,20,0.862116368
3class_NB,Lemmat.,21,0.857938158
3class_NB,Lemmat.,22,0.890283613
3class_NB,Lemmat.,23,0.877285343
3class_NB,Lemmat.,24,0.917091148
3class_NB,Lemmat.,25,0.880717458
3class_NB,Lemmat.,26,0.911064389
3class_NB,Lemmat.,27,0.919415719
3class_NB,Lemmat.,28,0.838964534
3class_NB,Lemmat.,29,0.884306484
3class_NB,Lemmat.,30,0.892263333
3class_NB,Lemmat.,31,0.906212993
3class_NB,Lemmat.,32,0.878468189
3class_NB,Lemmat.,33,0.919408674
3class_NB,Lemmat.,34,0.884875048
3class_NB,Lemmat.,35,0.872871545
3class_NB,Lemmat.,36,0.836738427
3class_NB,Lemmat.,37,0.85069878
3class_NB,Lemmat.,38,0.89382691
3class_NB,Lemmat.,39,0.888056157
3class_NB,Lemmat.,40,0.879030607
3class_NB,Lemmat.,41,0.920715763
3class_NB,Lemmat.,42,0.888650546
3class_NB,Lemmat.,43,0.91535671
3class_NB,Lemmat.,44,0.895363948
3class_NB,Lemmat.,45,0.885673654
3class_NB,Lemmat.,46,0.904452206
3class_NB,Lemmat.,47,0.895680405
3class_NB,Lemmat.,48,0.888730389
3class_NB,Lemmat.,49,0.847079115
3class_NB,Lemmat.,50,0.831983
