comb,Options,run,f1_no_feature_selection,f1
3class_NB,trigram,18,0.709899032,0.75195206
3class_NB,trigram,19,0.745440047,0.742864989
3class_NB,trigram,20,0.711418579,0.709017837
3class_NB,trigram,21,0.724189101,0.783056613
3class_NB,trigram,22,0.732160741,0.685506873
3class_NB,trigram,23,0.728642551,0.783235298
3class_NB,trigram,24,0.739474336,0.827730731
3class_NB,trigram,25,0.746500387,0.757273183
3class_NB,trigram,26,0.720560256,0.756893058
3class_NB,trigram,27,0.721888408,0.765278405
3class_NB,trigram,28,0.720884049,0.753351195
3class_NB,trigram,29,0.678927501,0.742206998
3class_NB,trigram,30,0.733118971,0.759767543
3class_NB,trigram,31,0.737714064,0.787213187
3class_NB,trigram,32,0.708807521,0.681313764
3class_NB,trigram,33,0.770788999,0.710488812
3class_NB,trigram,34,0.744200626,0.725580074
3class_NB,trigram,35,0.688286753,0.751745574
3class_NB,trigram,36,0.744409613,0.723348291
3class_NB,trigram,37,0.772954677,0.708845667
3class_NB,trigram,38,0.745063502,0.752846995
3class_NB,trigram,39,0.71044235,0.769972902
3class_NB,trigram,40,0.74073398,0.713694811
3class_NB,trigram,41,0.740525482,0.757340721
3class_NB,trigram,42,0.72283221,0.722738006
3class_NB,trigram,43,0.724418739,0.708773879
3class_NB,trigram,44,0.734372931,0.766999389
3class_NB,trigram,45,0.695768679,0.766459205
3class_NB,trigram,46,0.760931798,0.778220487
3class_NB,trigram,47,0.701215975,0.750998203
3class_NB,trigram,48,0.682843957,0.749335681
3class_NB,trigram,49,0.753028529,0.666432078
3class_NB,trigram,50,0.737701254,0.729465761
