comb,stopword_options,run,f1,f5
3class_NB,NoRemoval,25,0.854496399,
3class_NB,NoRemoval,26,0.873732719,
3class_NB,NoRemoval,27,0.864304877,
3class_NB,NoRemoval,28,0.872454188,
3class_NB,NoRemoval,29,0.840181042,
3class_NB,NoRemoval,30,0.858322837,
3class_NB,NoRemoval,31,0.865822006,
3class_NB,NoRemoval,32,0.859101629,
3class_NB,NoRemoval,33,0.886841741,
3class_NB,NoRemoval,34,0.862079668,
3class_NB,NoRemoval,35,0.87557188,
3class_NB,NoRemoval,36,0.826274223,
3class_NB,NoRemoval,37,0.849878738,
3class_NB,NoRemoval,38,0.866590605,
3class_NB,NoRemoval,39,0.855329996,
3class_NB,NoRemoval,40,0.851171664,
3class_NB,NoRemoval,41,0.857798601,
3class_NB,NoRemoval,42,0.87580073,
3class_NB,NoRemoval,43,0.883744682,
3class_NB,NoRemoval,44,0.848093078,
3class_NB,NoRemoval,45,0.880902573,
3class_NB,NoRemoval,46,0.884764206,
3class_NB,NoRemoval,47,0.874555442,
3class_NB,NoRemoval,48,0.861313839,
3class_NB,NoRemoval,49,0.84872288,
3class_NB,NoRemoval,50,0.828974893,
3class_Ridge,CommEng,1,0.759236091,
3class_Ridge,CommEng,2,0.774585934,
3class_Ridge,CommEng,3,0.787087516,
3class_Ridge,CommEng,4,0.7851038,
3class_Ridge,CommEng,5,0.759213091,
3class_Ridge,CommEng,6,0.801584286,
3class_Ridge,CommEng,7,0.786007263,
3class_Ridge,CommEng,8,0.784346997,
3class_Ridge,CommEng,9,0.773114941,
3class_Ridge,CommEng,10,0.768735659,
3class_Ridge,CommEng,11,0.781419665,
3class_Ridge,CommEng,12,0.762945394,
3class_Ridge,CommEng,13,0.769284906,
3class_Ridge,CommEng,14,0.781742664,
3class_Ridge,CommEng,15,0.739949678,
3class_Ridge,CommEng,16,0.746200057,
3class_Ridge,CommEng,17,0.703729839,
3class_Ridge,CommEng,18,0.766097182,
3class_Ridge,CommEng,19,0.781948518,
3class_Ridge,CommEng,20,0.749582289,
3class_Ridge,CommEng,21,0.768140802,
3class_Ridge,CommEng,22,0.788675777,
3class_Ridge,CommEng,23,0.790733869,
3class_Ridge,CommEng,24,0.786298425,
3class_Ridge,CommEng,25,0.778228523,
3class_Ridge,CommEng,26,0.758576396,
3class_Ridge,CommEng,27,0.73891771,
3class_Ridge,CommEng,28,0.807415105,
3class_Ridge,CommEng,29,0.748611111,
3class_Ridge,CommEng,30,0.78584624,
3class_Ridge,CommEng,31,0.765782009,
3class_Ridge,CommEng,32,0.74345473,
3class_Ridge,CommEng,33,0.773580916,
3class_Ridge,CommEng,34,0.769402482,
3class_Ridge,CommEng,35,0.776154799,
3class_Ridge,CommEng,36,0.788242189,
3class_Ridge,CommEng,37,0.787038891,
3class_Ridge,CommEng,38,0.799710461,
3class_Ridge,CommEng,39,0.738848921,
3class_Ridge,CommEng,40,0.786981567,
3class_Ridge,CommEng,41,0.768802253,
3class_Ridge,CommEng,42,0.774569594,
3class_Ridge,CommEng,43,0.757851986,
3class_Ridge,CommEng,44,0.776332967,
3class_Ridge,CommEng,45,0.818264828,
3class_Ridge,CommEng,46,0.78683846,
3class_Ridge,CommEng,47,0.782474135,
3class_Ridge,CommEng,48,0.728787879,
3class_Ridge,CommEng,49,0.772529047,
3class_Ridge,CommEng,50,0.765802741,
3class_Ridge,Threshold,1,0.806090646,
3class_Ridge,Threshold,2,0.7549221,
3class_Ridge,Threshold,3,0.825563133,
3class_Ridge,Threshold,4,0.818980272,
3class_Ridge,Threshold,5,0.78150995,
3class_Ridge,Threshold,6,0.825978988,
3class_Ridge,Threshold,7,0.822839114,
3class_Ridge,Threshold,8,0.812584898,
3class_Ridge,Threshold,9,0.777628887,
3class_Ridge,Threshold,10,0.778988757,
3class_Ridge,Threshold,11,0.817217967,
3class_Ridge,Threshold,12,0.820582391,
3class_Ridge,Threshold,13,0.822925659,
3class_Ridge,Threshold,14,0.774386523,
3class_Ridge,Threshold,15,0.802038084,
3class_Ridge,Threshold,16,0.75118108,
3class_Ridge,Threshold,17,0.78169105,
3class_Ridge,Threshold,18,0.732155816,
3class_Ridge,Threshold,19,0.7922107,
3class_Ridge,Threshold,20,0.782656387,
3class_Ridge,Threshold,21,0.803342071,
3class_Ridge,Threshold,22,0.83464502,
3class_Ridge,Threshold,23,0.81317272,
3class_Ridge,Threshold,24,0.807693807,
3class_Ridge,Threshold,25,0.823722981,
3class_Ridge,Threshold,26,0.801782342,
3class_Ridge,Threshold,27,0.815167961,
3class_Ridge,Threshold,28,0.797003745,
3class_Ridge,Threshold,29,0.762191514,
3class_Ridge,Threshold,30,0.824429558,
3class_Ridge,Threshold,31,0.813453794,
3class_Ridge,Threshold,32,0.762459735,
3class_Ridge,Threshold,33,0.788556211,
3class_Ridge,Threshold,34,0.799211978,
3class_Ridge,Threshold,35,0.818499295,
3class_Ridge,Threshold,36,0.82938276,
3class_Ridge,Threshold,37,0.782718532,
3class_Ridge,Threshold,38,0.815980622,
3class_Ridge,Threshold,39,0.76746596,
3class_Ridge,Threshold,40,0.814961,
3class_Ridge,Threshold,41,0.817088529,
3class_Ridge,Threshold,42,0.779700959,
3class_Ridge,Threshold,43,0.756836478,
3class_Ridge,Threshold,44,0.777231594,
3class_Ridge,Threshold,45,0.826502191,
3class_Ridge,Threshold,46,0.822036592,
3class_Ridge,Threshold,47,0.803903725,
3class_Ridge,Threshold,48,0.765703574,
3class_Ridge,Threshold,49,0.826308041,
3class_Ridge,Threshold,50,0.796531365,
3class_Ridge,SelfDefined,1,0.811519539,
3class_Ridge,SelfDefined,2,0.832517007,
3class_Ridge,SelfDefined,3,0.825921309,
3class_Ridge,SelfDefined,4,0.815376877,
3class_Ridge,SelfDefined,5,0.792679424,
3class_Ridge,SelfDefined,6,0.821389089,
3class_Ridge,SelfDefined,7,0.83327224,
3class_Ridge,SelfDefined,8,0.834835302,
3class_Ridge,SelfDefined,9,0.831807082,
3class_Ridge,SelfDefined,10,0.790155563,
3class_Ridge,SelfDefined,11,0.852995959,
3class_Ridge,SelfDefined,12,0.840860215,
3class_Ridge,SelfDefined,13,0.832645314,
3class_Ridge,SelfDefined,14,0.801688617,
3class_Ridge,SelfDefined,15,0.816074622,
3class_Ridge,SelfDefined,16,0.796858198,
3class_Ridge,SelfDefined,17,0.77508825,
3class_Ridge,SelfDefined,18,0.812683286,
3class_Ridge,SelfDefined,19,0.814547977,
3class_Ridge,SelfDefined,20,0.8085536,
3class_Ridge,SelfDefined,21,0.824031542,
3class_Ridge,SelfDefined,22,0.833440871,
3class_Ridge,SelfDefined,23,0.824595994,
3class_Ridge,SelfDefined,24,0.827712613,
3class_Ridge,SelfDefined,25,0.835295327,
3class_Ridge,SelfDefined,26,0.82088411,
3class_Ridge,SelfDefined,27,0.842239674,
3class_Ridge,SelfDefined,28,0.83095069,
3class_Ridge,SelfDefined,29,0.802640139,
3class_Ridge,SelfDefined,30,0.823409101,
3class_Ridge,SelfDefined,31,0.789333229,
3class_Ridge,SelfDefined,32,0.765770734,
3class_Ridge,SelfDefined,33,0.821749397,
3class_Ridge,SelfDefined,34,0.797243945,
3class_Ridge,SelfDefined,35,0.810645387,
3class_Ridge,SelfDefined,36,0.81449914,
3class_Ridge,SelfDefined,37,0.82664762,
3class_Ridge,SelfDefined,38,0.822187444,
3class_Ridge,SelfDefined,39,0.817077138,
3class_Ridge,SelfDefined,40,0.837333884,
3class_Ridge,SelfDefined,41,0.805278832,
3class_Ridge,SelfDefined,42,0.81821157,
3class_Ridge,SelfDefined,43,0.823507248,
3class_Ridge,SelfDefined,44,0.789141871,
3class_Ridge,SelfDefined,45,0.810785232,
3class_Ridge,SelfDefined,46,0.823619828,
3class_Ridge,SelfDefined,47,0.8211757,
3class_Ridge,SelfDefined,48,0.752427793,
3class_Ridge,SelfDefined,49,0.808642232,
3class_Ridge,SelfDefined,50,0.821457882,
3class_Ridge,NoRemoval,1,0.797881087,
3class_Ridge,NoRemoval,2,0.818097068,
3class_Ridge,NoRemoval,3,0.834636901,
3class_Ridge,NoRemoval,4,0.830355237,
3class_Ridge,NoRemoval,5,0.800897613,
3class_Ridge,NoRemoval,6,0.819260569,
3class_Ridge,NoRemoval,7,0.814221653,
3class_Ridge,NoRemoval,8,0.840450742,
3class_Ridge,NoRemoval,9,0.811215539,
3class_Ridge,NoRemoval,10,0.787439068,
3class_Ridge,NoRemoval,11,0.852995959,
3class_Ridge,NoRemoval,12,0.833498701,
3class_Ridge,NoRemoval,13,0.832645314,
3class_Ridge,NoRemoval,14,0.810177959,
3class_Ridge,NoRemoval,15,0.795897246,
3class_Ridge,NoRemoval,16,0.778594557,
3class_Ridge,NoRemoval,17,0.785479042,
3class_Ridge,NoRemoval,18,0.79824383,
3class_Ridge,NoRemoval,19,0.783280819,
3class_Ridge,NoRemoval,20,0.771909471,
3class_Ridge,NoRemoval,21,0.807200188,
3class_Ridge,NoRemoval,22,0.833440871,
3class_Ridge,NoRemoval,23,0.8146045,
3class_Ridge,NoRemoval,24,0.827712613,
3class_Ridge,NoRemoval,25,0.84388346,
3class_Ridge,NoRemoval,26,0.811537594,
3class_Ridge,NoRemoval,27,0.832246198,
3class_Ridge,NoRemoval,28,0.794428571,
3class_Ridge,NoRemoval,29,0.777963956,
3class_Ridge,NoRemoval,30,0.800700314,
3class_Ridge,NoRemoval,31,0.800072701,
3class_Ridge,NoRemoval,32,0.776253423,
3class_Ridge,NoRemoval,33,0.811778217,
3class_Ridge,NoRemoval,34,0.804431032,
3class_Ridge,NoRemoval,35,0.809322506,
3class_Ridge,NoRemoval,36,0.823818933,
3class_Ridge,NoRemoval,37,0.820459315,
3class_Ridge,NoRemoval,38,0.822187444,
3class_Ridge,NoRemoval,39,0.817077138,
3class_Ridge,NoRemoval,40,0.827307969,
3class_Ridge,NoRemoval,41,0.805278832,
3class_Ridge,NoRemoval,42,0.829608514,
3class_Ridge,NoRemoval,43,0.802032432,
3class_Ridge,NoRemoval,44,0.775982988,
3class_Ridge,NoRemoval,45,0.810785232,
3class_Ridge,NoRemoval,46,0.811256491,
3class_Ridge,NoRemoval,47,0.8211757,
