classifier,features,f1,f5
Tree,33,0.647361114,0.6416851
Tree,40,0.647361114,0.6416851
Tree,44,0.6248299,0.619809205
Tree,49,0.735548301,0.741235011
Tree,55,0.780757166,0.793034114
Tree,61,0.802156813,0.811397752
Tree,69,0.802385887,0.811772831
Tree,72,0.802385887,0.811772831
Tree,79,0.802385887,0.811772831
Tree,85,0.802385887,0.811772831
Tree,88,0.802385887,0.811772831
Tree,94,0.82216381,0.836014741
Tree,99,0.808460553,0.825532711
Tree,105,0.80966876,0.826592048
Tree,110,0.808797436,0.825696332
Tree,116,0.808797436,0.825696332
Tree,121,0.808797436,0.825696332
Tree,127,0.808734689,0.825035543
Tree,132,0.808734689,0.825035543
Tree,138,0.808734689,0.825035543
Tree,144,0.808734689,0.825035543
Tree,149,0.808734689,0.825035543
Tree,155,0.808734689,0.825035543
Tree,160,0.80204079,0.820167011
Tree,166,0.80204079,0.820167011
Tree,171,0.80204079,0.820167011
Tree,178,0.80204079,0.820167011
Tree,184,0.80204079,0.820167011
Tree,188,0.80204079,0.820167011
Tree,193,0.80204079,0.820167011
Tree,202,0.80204079,0.820167011
Tree,205,0.80204079,0.820167011
Tree,210,0.812776823,0.830183287
Tree,217,0.812776823,0.830183287
Tree,221,0.812776823,0.830183287
Tree,229,0.807529345,0.825415951
Tree,233,0.807529345,0.825415951
Tree,238,0.807529345,0.825415951
Tree,247,0.803364766,0.821595307
Tree,249,0.800510785,0.819472377
Tree,258,0.800510785,0.819472377
Tree,260,0.798121611,0.816436402
Tree,266,0.798121611,0.816436402
Tree,271,0.779270896,0.794549726
Tree,277,0.753677417,0.767625569
